Date,Ticker,Open,Close,Stock_Change_pct,Market_Change_pct,Outperformance_pct
2025-08-01,KLAC,854.34,884.71,3.56,-0.78,4.34
2025-08-01,GNRC,189.35,193.63,2.26,-0.78,3.04
2025-08-01,ILMN,92.61,94.66,2.21,-0.78,3.0
2025-08-01,JCI,104.27,106.48,2.12,-0.78,2.9
2025-08-01,LLY,745.18,760.66,2.08,-0.78,2.86
2025-08-01,RMBS,71.0,72.41,1.99,-0.78,2.77
2025-08-01,AMAT,176.6,179.99,1.92,-0.78,2.7
2025-08-01,AMD,170.16,171.7,0.91,-0.78,1.69
2025-08-01,GILD,112.26,113.18,0.82,-0.78,1.6
2025-08-01,TXN,179.63,180.86,0.68,-0.78,1.47
2025-08-01,EL,90.6,91.04,0.49,-0.78,1.27
2025-08-01,ROK,341.6,343.18,0.46,-0.78,1.25
2025-08-01,SNPS,617.55,618.65,0.18,-0.78,0.96
2025-08-01,MRNA,27.57,27.6,0.13,-0.78,0.91
2025-08-01,GOOG,189.78,189.95,0.09,-0.78,0.87
2025-08-01,GRAL,32.77,32.79,0.06,-0.78,0.84
2025-08-01,IDCC,252.75,252.8,0.02,-0.78,0.8
2025-08-05,UNH,241.16,251.0,4.08,-0.59,4.67
2025-08-05,BP,32.45,33.12,2.07,-0.59,2.66
2025-08-05,GRAL,33.21,33.75,1.63,-0.59,2.22
2025-08-05,GNRC,196.4,197.28,0.45,-0.59,1.04
2025-08-05,NOK,4.08,4.09,0.25,-0.59,0.84
2025-08-05,UIS,4.03,4.04,0.25,-0.59,0.84
2025-08-05,TXN,184.95,185.4,0.24,-0.59,0.83
2025-08-05,LLY,763.89,764.27,0.05,-0.59,0.64
2025-08-07,AMD,166.84,172.4,3.33,-0.54,3.87
2025-08-07,DELL,130.17,133.93,2.89,-0.54,3.43
2025-08-07,NVO,48.47,48.76,0.6,-0.54,1.14
2025-08-07,REGN,556.81,558.95,0.38,-0.54,0.92
2025-08-07,EL,90.99,91.22,0.25,-0.54,0.79
2025-08-07,ILMN,95.39,95.5,0.12,-0.54,0.65
2025-08-11,AMD,170.04,172.28,1.32,-0.25,1.57
2025-08-11,GILD,119.23,120.47,1.04,-0.25,1.29
2025-08-11,LLY,628.04,633.83,0.92,-0.25,1.18
2025-08-11,CRWD,423.82,426.43,0.62,-0.25,0.87
2025-08-11,IDCC,264.74,266.31,0.59,-0.25,0.85
2025-08-11,ILMN,94.27,94.78,0.54,-0.25,0.79
2025-08-11,JCI,105.44,105.71,0.26,-0.25,0.51
2025-08-11,DELL,138.0,138.32,0.23,-0.25,0.49
2025-08-11,GRAL,32.66,32.69,0.09,-0.25,0.35
2025-08-11,GOOG,201.55,201.63,0.04,-0.25,0.29
2025-08-11,NVDA,182.05,182.06,0.01,-0.25,0.26
2025-08-15,MRNA,26.97,28.02,3.89,-0.43,4.32
2025-08-15,NICE,130.6,133.16,1.96,-0.43,2.39
2025-08-15,NVO,51.44,52.41,1.89,-0.43,2.31
2025-08-15,NOW,851.77,867.24,1.82,-0.43,2.24
2025-08-15,EL,89.77,90.97,1.34,-0.43,1.76
2025-08-15,LLY,694.2,701.23,1.01,-0.43,1.44
2025-08-15,BP,34.0,34.33,0.97,-0.43,1.4
2025-08-15,UNH,301.71,304.01,0.76,-0.43,1.19
2025-08-15,UIS,3.91,3.94,0.77,-0.43,1.19
2025-08-15,FI,135.67,136.7,0.76,-0.43,1.18
2025-08-15,GRAL,32.2,32.43,0.71,-0.43,1.14
2025-08-15,CRWD,425.28,427.9,0.62,-0.43,1.04
2025-08-15,TXN,193.6,194.57,0.5,-0.43,0.93
2025-08-15,REGN,577.08,579.53,0.42,-0.43,0.85
2025-08-15,SNPS,616.36,617.91,0.25,-0.43,0.68
2025-08-15,META,784.15,785.23,0.14,-0.43,0.56
2025-08-15,GOOG,204.72,204.91,0.09,-0.43,0.52
2025-08-19,FI,137.59,139.11,1.1,-0.54,1.65
2025-08-19,ILMN,100.82,101.6,0.77,-0.54,1.31
2025-08-19,TXN,194.67,195.94,0.65,-0.54,1.19
2025-08-19,WFC,77.16,77.53,0.48,-0.54,1.02
2025-08-19,NVO,54.57,54.78,0.38,-0.54,0.93
2025-08-19,NICE,137.48,137.97,0.36,-0.54,0.9
2025-08-19,GNRC,198.55,199.08,0.27,-0.54,0.81
2025-08-19,ROK,343.0,343.51,0.15,-0.54,0.69
