Ticker,Days_Outperformed,Avg_Return_pct,Max_Return_pct,Avg_Outperformance_pct
LLY,4,1.02,2.08,1.53
GRAL,4,0.62,1.63,1.14
TXN,4,0.52,0.68,1.1
ILMN,4,0.91,2.21,1.44
NVO,3,0.96,1.89,1.46
GNRC,3,0.99,2.26,1.63
GOOG,3,0.07,0.09,0.56
EL,3,0.69,1.34,1.27
AMD,3,1.85,3.33,2.38
DELL,2,1.56,2.89,1.96
UIS,2,0.51,0.77,1.01
ROK,2,0.3,0.46,0.97
SNPS,2,0.22,0.25,0.82
BP,2,1.52,2.07,2.03
NICE,2,1.16,1.96,1.64
MRNA,2,2.01,3.89,2.62
UNH,2,2.42,4.08,2.93
JCI,2,1.19,2.12,1.7
IDCC,2,0.3,0.59,0.82
CRWD,2,0.62,0.62,0.96
GILD,2,0.93,1.04,1.44
FI,2,0.93,1.1,1.42
REGN,2,0.4,0.42,0.88
RMBS,1,1.99,1.99,2.77
AMAT,1,1.92,1.92,2.7
NVDA,1,0.01,0.01,0.26
NOW,1,1.82,1.82,2.24
NOK,1,0.25,0.25,0.84
META,1,0.14,0.14,0.56
KLAC,1,3.56,3.56,4.34
WFC,1,0.48,0.48,1.02
